,mean_salary,count
JavaScript (ES6/React),142500.0,1
Mail relay,142500.0,1
Palo Alto Panorama,142500.0,1
@RISK,142500.0,1
Security principles,142500.0,1
Patent Prosecution,142500.0,1
Relational DB,142500.0,1
Cisco CDO,142500.0,1
ARENA,142500.0,1
Desired State Configuration (DSC),142500.0,1
Network technologies,142500.0,1
Update management,142500.0,1
Defi Protocols,142500.0,1
Python (Django),142500.0,2
Cloudbased security tools,142500.0,1
Project Management Methodology,142480.0,1
Fit Gap Analysis,142480.0,1
Software Integration,142480.0,1
IT Lifecycle Governance,142480.0,1
IT Standards and Concepts,142480.0,1
Quality / Testing Methodologies,142480.0,1
Identity management,142404.5,2
AWS Architecture,141979.0,1
Azure Architecture,141979.0,1
Spark ML,141666.66666666666,3
orchestrator,141500.0,1
Cisco ASR Routers,140720.0,1
Virtual LANs,140720.0,1
Layer 3 Etherchannels,140720.0,1
Cisco ISR Routers,140720.0,1
L2TP/IPSec VPN,140720.0,1
AAA Services,140720.0,1
IR,140600.0,1
XQL,140600.0,1
MDR,140600.0,1
Network Virtualization,140560.0,2
Cisco IOSXE,140560.0,2
Qlik Compose,140500.0,1
DBT ETL,140500.0,1
Database (PL/SQL),140440.0,1
Ibgp,140400.0,1
Financial Software,140400.0,1
IP SLA,140400.0,1
Windows file system,140400.0,2
Layer 2/Layer 3 QoS,140400.0,1
Windows registry,140400.0,2
Commercial Card domains,140400.0,1
multicast,140400.0,1
802.1q,140400.0,1
L3 Etherchannels,140400.0,1
Windows kernel,140400.0,2
Ipv6,140400.0,1
ITIL Foundations Certification,140400.0,1
MS clusters,140400.0,1
OER,140400.0,1
Trade Supply Chain Finance,140400.0,1
Event Tracing for Windows (ETW),140400.0,2
802.1d,140400.0,1
Unified Computing System (UCS),140400.0,1
Receivables,140400.0,1
L2/L3 switches,140400.0,1
Ebgp,140400.0,1
Liquidity Management,140400.0,1
Cisco ISR routers,140400.0,1
Windows Event Logging,140400.0,2
Vlans,140400.0,1
Accounting Services,140400.0,1
Vrf,140400.0,1
Cisco ASR routers,140400.0,1
load balancing,140400.0,1
Cyber Security Controls,140000.0,1
Oracle Application Server 12c,140000.0,1
Workload management,140000.0,1
Microsoft lifecycle,140000.0,1
Windows Server/IIS,140000.0,1
AVEVA PI,140000.0,1
gRPC APIs,140000.0,1
Microsoft Visual Studio,140000.0,1
SIEMs,140000.0,2
Postgre,140000.0,1
Decentralized applications,140000.0,1
Arista Switching,140000.0,1
Data sets,140000.0,1
Virtual Desktops,140000.0,1
GE Proficy,140000.0,1
Dependency management,140000.0,1
CWE/SANS Top 25,140000.0,1
Netwrix,140000.0,1
IP21,140000.0,1
Microsoft Windows 10 11,140000.0,1
Azkaban,140000.0,1
Cisco Routing Switching,140000.0,1
Guardrails,140000.0,1
Luigi,140000.0,1
Graph Analytics,140000.0,1
Frontend Architecture,140000.0,2
Semantic Kernel,140000.0,1
Microsoft Operating System,140000.0,1
Oracle ERP EBS R12,140000.0,1
WSH,140000.0,1
Business Process Discovery,140000.0,1
DeltaV,140000.0,1
guidanceai,140000.0,1
Data warehouse design,140000.0,1
GraphRAG,140000.0,1
VMWare vSphere,140000.0,1
Lead Management,140000.0,1
Prospecting,140000.0,1
Cloud Security Matrix,140000.0,1
Juniper R&S,140000.0,1
Cloud Data Warehouses,140000.0,1
Enterprise Systems,140000.0,1
Wonderware,140000.0,1
Cosmos ecosystem,140000.0,1
Enterprise Security,140000.0,1
Curriculum Development,139800.0,1
Training Programs,139800.0,1
Lab Development,139800.0,1
System,139770.0,2
Portal Applications,139360.0,1
nexus,139360.0,1
fortify,139360.0,1
Fiddler,139200.0,2
Dev/Ops,139200.0,2
JBOSS,139200.0,2
Oracle Interaction Hub,139152.0,1
PeopleSoft Financials and Supply Chain Management (FSCM),139152.0,1
Phire Architect,139152.0,1
FreshWorks,139152.0,1
Sherpa Budget Formulation & Management,139152.0,1
PeopleSoft Human Capital Management (HCM),139152.0,1
Linux RPMs,139144.0,1
Apple .pkg,139144.0,1
Security Practices,139144.0,1
Microsoft Endpoint Configuration Manager,139144.0,1
Apache Beam,138937.5,2
Incident Postmortem,138560.0,1
Incident Response Plan,138560.0,1
Financial Security,138560.0,1
Tabletop Incident Exercises,138560.0,1
Flosum,138500.0,2
Airwall,138496.0,1
Mongo Aggregation Framework,138496.0,1
Mongo Schema Design,138496.0,1
DB Admin/SQL Server,138496.0,1
GHA CI/CD,138496.0,1
Moogsoft/xMatters,138496.0,1
Ping Federate,138496.0,1
ADO cloud,138496.0,1
Composer,138460.21,2
Triton,138000.0,3
XSS,137992.5,2
Gaussian Splatting,137500.0,1
Canary,137500.0,1
ICD 503,137500.0,1
XCode,137500.0,1
Depth Estimation,137500.0,1
Multiple View Geometry,137500.0,1
ARIA,137500.0,1
Realtime Graphics Programming,137500.0,1
Differentiable Rendering,137500.0,1
Volume Rendering,137500.0,1
CNCF,137500.0,1
Bluegreen,137500.0,1
Neural Radiance Fields,137500.0,1
Networking Security,137000.0,2
Native Cloud Computing,137000.0,2
VxLAN/EVPN,137000.0,2
CCIE R&S,137000.0,1
IP Routing,137000.0,2
CCIE Security,137000.0,1
Technology Solutions,136832.0,1
FDA Regulations,136832.0,1
Wiki,136608.0,1
Cloudbased Tools,136500.0,1
Draw.io,136500.0,1
Dataflow Diagrams,136500.0,1
Infrastructure/Network Diagrams,136500.0,1
Micro Services,136275.0,4
AWS Connect,136140.0,2
RSTP,136025.0,2
SQL Query Optimization,136000.0,1
Database Compliance,136000.0,1
VSCode,135750.0,2
CORS,135692.5,2
QMS,135600.0,2
schema design,135581.0,1
Model serving,135550.0,1
Statistical concepts,135550.0,1
Attribution modeling,135550.0,1
Behavior targeting,135550.0,1
ML model development,135550.0,1
Word Processing,135520.0,1
Spreadsheet Software,135520.0,1
Microsoft O365 Cloud Services,135500.0,1
Cloud Engineering,135443.5,4
Application servers,135366.75,2
Alert/Event monitoring,135200.0,1
Azure Active Directory Connect,135200.0,1
CCDAK,135200.0,1
SAP eWM,135200.0,1
Cortex XSOAR,135060.0,5
GNU Make,135000.0,1
Text generation,135000.0,1
GCC,135000.0,1
BSA/AML Audits,135000.0,1
Software development processes,135000.0,1
Buildroot,135000.0,1
ChromaDB,135000.0,1
Transformer models,135000.0,1
Milvus,135000.0,1
Cypher Suites,135000.0,1
CISA Certification,135000.0,1
Windows Server Update Service,135000.0,1
FFIEC/GLBA Guidelines,135000.0,1
Microchip MPLAB,135000.0,1
ROS 2,135000.0,1
Search Console,135000.0,1
Lending and Deposit Compliance Audits,135000.0,1
NLU,135000.0,1
GA4,135000.0,1
TalkDesk,135000.0,1
Intercom,135000.0,1
Embedded communications protocols,135000.0,1
ACH API,135000.0,1
Embedded electronics test equipment,135000.0,1
DoD STIGs,135000.0,1
Software version control processes,135000.0,1
IT Audits,135000.0,1
Mural,135000.0,1
Linux command line tools,135000.0,1
ACH APIs,135000.0,1
RiskBased Assessments,135000.0,1
Linux shell scripting,135000.0,1
PHI,135000.0,2
C programming language,135000.0,1
Social Engineering,135000.0,1
Embedchain,135000.0,1
Embedded development IDEs,135000.0,1
Linux AutoUpdater,135000.0,1
RestAPI,135000.0,1
Yocto,135000.0,1
Agile frameworks,134875.0,2
OpenTofu,134640.0,1
Fullstack Development,134600.0,2
Regression algorithms,134453.0,1
Model drift metrics,134453.0,1
Model validation metrics,134453.0,1
Neural Network frameworks,134453.0,1
Binary classification algorithms,134453.0,1
Cloud asset inventory strategies,134200.0,1
Cloud native solutions,134200.0,1
Cloud governance tools,134200.0,1
Cloud security management,134200.0,1
Cloudready enterprise solutions,134200.0,1
Security DevOps,134200.0,1
Tanzu Application Service (TAS),134200.0,1
Research,134166.66666666666,3
PAM,134039.33333333334,6
Computer vision,133750.0,4
Content Strategy,133500.0,1
Editing,133500.0,1
Spreadsheet,133500.0,2
Content Production,133500.0,1
Digital Asset Leverage,133500.0,1
SAN platforms,132790.0,1
SQL Server AlwaysOn Availability Group,132790.0,1
IDERA,132790.0,1
SQL Server Replication / Mirror,132790.0,1
XP,132790.0,1
.Net/.Net Core,132500.0,1
fpML,132500.0,1
Configurations,132500.0,1
observability,132500.0,1
Alert Writing,132500.0,1
Security Alert Triage,132500.0,1
OTC Derivatives,132500.0,1
Murex,132500.0,1
NoSQL DB,132500.0,2
Alert Correlation,132500.0,1
Security Alert Investigation,132500.0,1
SIEM technologies,132500.0,1
DarkTrace,132500.0,1
Alert Detection,132500.0,1
Alert Tuning,132500.0,1
Envestnet,132000.0,1
ACORD,132000.0,1
DST Fanmail,132000.0,1
SIMON,132000.0,1
Causal inference analysis,132000.0,1
DTCC,132000.0,1
Causal Inference,131966.66666666666,9
CDP,131666.66666666666,3
bash scripting,131650.0,1
Crossplane,131500.0,1
UI/UX design,131336.66666666666,6
Database Objects,131080.0,1
Server Security,131080.0,1
SQL Server Installation,131080.0,1
Database Functions,131080.0,1
Red Hat Satellite,131080.0,1
Service Packs,131080.0,1
Database Procedures,131080.0,1
Database Triggers,131080.0,1
Upgrading,131080.0,1
LINUX (RHEL),131080.0,1
NERC Reliability Authority,131000.0,1
PSS/E,131000.0,1
PowerWorld,131000.0,1
electrochemistry,131000.0,1
EMS,131000.0,1
TSAT,131000.0,1
PSLF,131000.0,1
Spring Core,130930.0,2
RTCP,130850.0,1
WebRTC,130766.7,5
Accessibility,130700.0,8
python,130633.33333333333,3
SIEM management,130600.0,1
Clustering Algorithms,130600.0,1
Clevel stakeholders,130034.0,1
Health Plan/Payer organizations,130034.0,1
Data management solutions,130034.0,1
Healthcare data domain,130034.0,1
ODS,130034.0,1
Globally distributed team,130034.0,1
Offshore team management,130034.0,1
VPlevel stakeholders,130034.0,1
CCMP,130000.0,1
Risk Management Framework,130000.0,3
FCP,130000.0,1
Fortinet  FortiGates,130000.0,1
NSE 4,130000.0,1
Nintex,130000.0,1
Cisco R S,130000.0,1
High Availability (HA),130000.0,1
Performance Tuning (PTO),130000.0,1
Cisco ASA FTDs,130000.0,1
QoS configuration,130000.0,1
Loan Operations,130000.0,1
VMWare NSX,130000.0,1
Server architecture,130000.0,1
Automotive,130000.0,1
Kemp,130000.0,1
Zenoti,130000.0,1
OutsourcePrime,130000.0,1
Network performance monitoring tools,130000.0,1
High availability clustering,130000.0,1
Industry 4.0,130000.0,1
3DX Enovia,130000.0,1
FortiNAC,130000.0,1
Acumatica,130000.0,1
ACP,130000.0,1
Disaster Recovery (DR),130000.0,1
WAN/LAN/VLAN,130000.0,1
Access points,130000.0,1
Appolo Clay,129878.4,1
IEEE/IEC/ISO 29148:2018,129791.5,1
Azure Bot Builder Framework SDK,129791.5,1
Azure Bot Service,129791.5,1
Azure Container Service,129791.5,1
Vendor Implementations,129728.0,1
Docker Compose,129666.66666666667,3
Oracle SaaS Fusion Cloud,129500.0,1
Oracle ERP,129500.0,1
Rest Services,129166.66666666667,3
Technical Consultation,128960.0,1
Use Case Writing,128960.0,1
Code Review,128816.66666666667,3
Lambdas,128706.66666666667,3
Restore,128500.0,1
DB,128500.0,1
NTEX,128500.0,1
REST/GQL,128500.0,1
BU,128500.0,1
Freeswitch,128500.0,1
Data encryption,128500.0,1
Kubernetes/GKE,128500.0,1
Cloud Foundry,128350.0,2
MinIO,128000.0,1
Safety Action Report (SAR),128000.0,1
Safety Action Program (ASAP),128000.0,1
Atlassian tool suite,128000.0,1
Magnolia CMS,128000.0,1
GitLab CI/CD pipelines,128000.0,1
Agile development framework,128000.0,1
Safety Management Systems,128000.0,1
Fastly CDN,128000.0,1
Agile software methodologies,128000.0,1
Coding Standards,127616.66666666667,3
Implementation,127533.16666666667,3
The Graph,127500.0,1
Dune Analytics,127500.0,1
CSS/XHTML,127500.0,1
Customer Consulting,127500.0,1
Junos,127500.0,1
Data flow designing,127500.0,1
Strategic Guidance,127500.0,1
Lowcode tools,127500.0,1
Reactive Java,127500.0,2
Azure Kubernetes,127500.0,2
Web Scraping,127500.0,1
Etherscan,127500.0,1
Frontend development,127500.0,1
Pipeline tools,127500.0,1
Startup Environment,127500.0,1
Global Protect,127500.0,1
JSTL,127500.0,1
Certification Programs,127500.0,1
XMLRPC,127500.0,1
US Security Clearance,127500.0,1
J2ee,127500.0,1
Container Management & Configuration,127500.0,1
Client Consulting,127500.0,1
Bubble.io,127500.0,1
API services,127500.0,1
Tiles,127500.0,1
Redhat Enterprise Linux,127205.0,2
Oracle/SQL Server,127040.0,1
RedHat RHEL 8.x,127040.0,1
Physical Servers,127040.0,1
Internet of Things,127000.0,1
3D Printing,127000.0,1
IntelliJIDEA,126500.0,1
Sisense,126339.0,1
Mesos,125525.0,2
XSL,125450.0,1
Blob,125450.0,1
Reverse proxies,125450.0,1
SSL certificates,125450.0,1
Python/PyTorch,125000.0,1
Salesforce APIs,125000.0,1
Consensus Mechanisms,125000.0,2
Rapid 7,125000.0,1
Microsoft Cert Services,125000.0,1
Data pipeline,125000.0,1
Big Data Concepts,125000.0,1
REST API development,125000.0,1
Ethers.js,125000.0,1
Varonis,125000.0,1
SOAP web services,125000.0,1
Model N Flex UI,125000.0,1
VSOC,125000.0,1
Signal Processing,125000.0,4
Model N API,125000.0,1
MEV,125000.0,1
Salesforce Lightning Web Components,125000.0,1
Web3.js,125000.0,1
Arctic Wolf,125000.0,1
AWS technologies,125000.0,1
Data Security/Governance,125000.0,1
Distributed computing,124933.33333333333,3
Jinja macros,124800.0,1
Data engineering fundamentals,124800.0,1
MS Azure DevOps,124800.0,1
ADA,124800.0,1
Code peer reviews,124800.0,1
Lineage,124800.0,1
Latency,124800.0,1
Distributed storage,124800.0,1
Prisma access,124800.0,1
Spring or Guice,124800.0,1
Software production engineering practices,124800.0,1
Technical Report Writing,124800.0,1
Generative models,124750.0,2
Siebel,124534.0,1
EIM,124534.0,1
VBC,124534.0,1
Crowdin,124500.0,1
XTM,124500.0,1
Genesys,124500.0,2
VisualStudio,124120.0,1
vue.js,124120.0,1
Cloud PBX,124006.4,1
Azure Administrator Associate (AZ104),124006.4,1
Microsoft 365/Entra ID,124006.4,1
Cloud Conference Calling,124006.4,1
microservices,123881.8,5
sklearn,123750.0,2
Vyper,123750.0,4
xgboost,123750.0,2
Event driven architecture,123750.0,2
Unit tests,123728.57142857143,7
Model Evaluation,123631.375,8
Distribute,123547.2,1
UKG/Kronos,123500.0,1
Click Up,123500.0,1
Online Communication Tools,123500.0,1
OpTime,123500.0,1
Agile Fundamentals,123500.0,1
Anesthesia,123500.0,1
Basic Project Management,123500.0,1
Constrained Optimization,123400.0,1
Logic Programming,123400.0,1
Retail planning,123200.0,1
Experience with Microsoft suite of software,123100.0,1
Ping Identity,123077.85714285714,7
GPT4,122857.14285714286,7
Copyright Law,122720.0,1
Music Licensing,122720.0,1
Spring JPA,122500.0,1
Security policy creation,122500.0,1
IntelliJ,122500.0,1
MyBatis,122500.0,1
Decentralized protocols,122500.0,1
Spring Batch,122500.0,2
Decentralized finance (DeFi) protocols,122500.0,1
Juniper switches,122500.0,1
Common services,122500.0,1
Recommender Systems,122500.0,1
HPE Aruba switches,122500.0,1
Exploit analysis tools,122500.0,1
Eventhub,122500.0,1
Application security patching,122500.0,1
Knowledge of vulnerability management process,122500.0,1
Web3 technologies,122500.0,1
Wireless solutions,122500.0,1
Security Frameworks: NIST ISO/IEC 27001 PCIDSS,122500.0,1
Network security tools management,122500.0,1
OS patching,122500.0,1
AzureSql,122500.0,1
Panorama Administration,122500.0,1
Web3 libraries (Web3.js ethers.js etc.),122500.0,1
Security policy implementation,122500.0,1
Security policy auditing,122500.0,1
Spring JMS,122500.0,1
Blockchain consensus algorithms,122500.0,1
Cloud security patching,122500.0,1
Common protocols,122500.0,1
Network security concepts,122500.0,1
Spring Data JPA,122500.0,1
IBatis,122500.0,1
Token standards (ERC20 ERC721 etc.),122500.0,1
Spring Executor,122500.0,1
Javamicroservices,122500.0,1
Maria,122500.0,1
Automated testing frameworks,122500.0,1
Cloud Foundry (PCF),122500.0,1
Software Delivery Lifecycle,122500.0,1
NO SQL,122500.0,1
Gamingspecific smart contract standards and protocols,122500.0,1
Newrelic,122500.0,1
Decentralized application architectures,122500.0,1
PLS/SQL,122500.0,1
Protocol Buffers,122062.5,8
* PowerShell,122000.0,1
* Play Framework,122000.0,1
* Distributed Systems,122000.0,1
SNOMED CT,121718.75,2
Cohort Analysis,121666.66666666667,3
Data analytics,121649.88888888889,9
Recommendation Systems,121387.5,8
HuggingFace,121325.0,4
Human physiology,121250.0,1
Load balancer configuration,120900.0,1
Network switch configuration,120900.0,1
Azure Data Explorer,120704.0,4
Bayesian Analysis,120650.0,1
symplyr,120600.0,1
Ultipro,120600.0,1
HRIP,120600.0,1
Kong,120535.0,4
Incentive Compensation Management System,120400.0,1
Anaplan Certified Model Builder,120400.0,1
Anaplan Model III,120400.0,1
Troubleshooting/Testing,120400.0,1
Toshiba ACE,120250.0,1
Objectoriented design,120250.0,2
Toshiba 4690 OS,120250.0,1
Point of Sale technologies,120250.0,1
Continuous Integration/Delivery (CI/CD),120160.0,1
SOA/Web services (REST),120160.0,1
SOA/web services (REST),120140.0,2
ML Flow,120128.0,1
AWS SageMaker Studio,120128.0,1
Amazon web services,120120.0,1
Express Framework,120010.0,4
SANs,120000.0,2
Infrastructureascode,120000.0,1
Physics,120000.0,1
APM/RUM,120000.0,1
GitHub workflows,120000.0,2
AWS Ste Functions,120000.0,1
NoSQL/Graph databases,120000.0,1
Data testing,120000.0,1
Fortimanager,120000.0,1
Data query optimization,120000.0,1
Logging & Monitoring,120000.0,1
Snowflake Data Warehouse,120000.0,1
web3.js,120000.0,1
Tablau,120000.0,1
ReactNative,120000.0,3
Microsoft Azure Data Scientist Associate (DP100) Professional Certificate,120000.0,1
NEAR,120000.0,1
Hyperparameter Tuning,120000.0,1
Serverless platforms,120000.0,1
Truffle,120000.0,1
Data Warehouse Reports,120000.0,1
Ethereum tools,120000.0,1
Continuous Integration / Delivery (CI/CD),119960.0,3
Customer Experience,119800.0,2
Alert,119600.0,1
SQL Injection,119600.0,1
IT and Business Risk and Controls,119600.0,1
Statistical and Analytical Skills,119600.0,1
Cloud Provider,119600.0,1
Realtime Communication,119600.0,1
Visual Designs,119600.0,1
SOA/Web Services (REST),119600.0,1
OOPS,119600.0,1
Web Application Design,119600.0,1
Distributed Teams,119600.0,1
FAIR Certification,119600.0,1
UX/Wireframes,119600.0,1
SES,119327.25,4
Embeddings,119250.0,2
Ranking,119250.0,2
Oracle Applications,119200.0,1
Oracle Identity Management,119200.0,1
Oracle Databases,119200.0,1
Oracle Access Management,119200.0,1
Kotlin,118758.59255319148,47
Crossfunctional Team,118700.0,1
Product Design,118700.0,1
Consumer Electronics,118700.0,1
Model Training,118265.5,2
Model Development,118265.5,2
Robotic Process Automation (RPA),118183.33333333333,3
Graphql,118150.0,2
RPVST,117500.0,1
Dbt Cloud,117500.0,1
MultiValue BASIC Languages,117500.0,1
StackWise,117500.0,1
SB+,117500.0,1
Network Flow Analysis,117500.0,1
Concepts of Operation,117500.0,1
Tosca,117500.0,1
Bagging,117500.0,1
PVST,117500.0,1
Cloudbased database platforms,117500.0,1
NIST frameworks,117500.0,1
Cloud Database Platforms,117500.0,1
Database backup and recovery,117500.0,1
DV2.0,117500.0,1
GoogleAI,117500.0,1
Hadoop/Spark,117500.0,1
Wan,117500.0,1
4GL,117500.0,1
Cisco Catalyst 9000 Series,117500.0,1
STPv2,117500.0,1
Agile/SCRUM,117500.0,1
Pipeline Building,117500.0,1
UniData BASIC,117500.0,1
Sentry,117500.0,4
PhotoShop,117160.0,1
Agile PLC,117000.0,1
PMI Certifications,117000.0,1
Microsoft Developer Certifications,117000.0,1
SAFe Certifications,117000.0,1
problemsolving,117000.0,1
Oracle Developer Certifications,117000.0,1
Scrum Alliance Certifications,117000.0,1
Java/C#,117000.0,1
Data integration,117000.0,4
Payments,116980.0,5
Prefect,116883.33333333333,15
Linux/Windows,116750.0,1
Team Automation,116750.0,1
Cloud Providers and Technologies,116750.0,1
NAnt,116750.0,1
SonarCloud,116750.0,1
Graphana,116750.0,1
Openshift Container Platform,116750.0,1
Whitehat,116750.0,1
Solana,116590.90909090909,11
DataDog,116518.0,16
Server less,116360.0,1
Netskope SWG,116300.0,1
ASA/Firepower,116300.0,1
Bricata IDS,116300.0,1
LabWindows/CVI,116250.0,1
Real Time Operating System,116250.0,1
Multithreaded programming,116250.0,1
SFDX,115720.42,1
Datastream,115720.42,1
Front Door,115597.0,1
Azure cloud resources,115597.0,1
Virtual Network,115597.0,1
AppInsights,115597.0,1
Application Gateways,115597.0,1
Azure DNS,115597.0,1
Boomi platform,115452.0,1
RedHat Linux,115250.0,2
lnformix,115000.0,1
AWS Code Build,115000.0,1
Oracle Platforms,115000.0,1
DSPM,115000.0,2
Data Vault,115000.0,2
Business Applications,115000.0,1
Dart,115000.0,1
SOA/REST,115000.0,1
Zero Trust Architecture,115000.0,1
Post Gres,115000.0,1
Jstl,115000.0,1
ChromeRiver,115000.0,1
Elemental,115000.0,1
Opensource Database platforms,115000.0,1
PgBouncer,115000.0,1
Endpoint Detection,115000.0,1
TLS/HTTPS,115000.0,1
Postgres database,115000.0,1
Software Solutions,115000.0,1
Troubleshooting Procedures,115000.0,1
Multifactor Authentication,115000.0,1
Elite 3E,115000.0,1
Xcelerate,115000.0,1
OctoDeploy,115000.0,1
PCoIP,115000.0,1
Visual Studios Data Tools,115000.0,1
GitBash,115000.0,1
PgPool,115000.0,1
UTM,115000.0,1
Computer Systems Analysis,115000.0,1
Knowledge Transfer Sessions,115000.0,1
System Requirements Development,115000.0,1
EDB,115000.0,1
Team City,115000.0,1
System Architecture Design,115000.0,1
Influence,114888.79999999999,2
IGMP,114800.0,2
API endpoint integration,114600.0,1
Cloud Computing (AWS),114450.0,2
Unix Administration,114400.0,1
Content Management Security,114400.0,1
OnBase Administration,114400.0,1
OnBase Workflow,114400.0,1
Sanctions,114250.0,1
Sanctions Compliance,114250.0,1
AML,114250.0,1
Sanctions Screening,114250.0,1
OFAC,114250.0,1
Economic Sanctions,114250.0,1
LightGBM,114200.0,5
Optimism,114000.0,2
Security Operations Center,114000.0,2
SparkML,114000.0,2
Workday HRIS,113750.0,1
ObjectiveC,113512.5,8
Quantum Physics,113400.0,1
Pylint,113000.0,1
EDR Endpoint Detection and Response,112720.0,1
Golang,112553.86046511628,43
Cortex XDR,112550.0,6
Container computing,112500.0,1
Solimar Systems,112500.0,1
GreyLog,112500.0,1
Communication security,112500.0,1
Data Pipelining,112500.0,1
HIPAA Security Rule,112500.0,1
Rshiny,112500.0,1
Cloud Design,112500.0,1
Exploratory Mathematics,112500.0,1
Vulnerability scanners,112500.0,1
Pallas,112500.0,2
XMPie,112500.0,1
Git Operations,112500.0,1
AZ104,112500.0,2
Text Mining and Processing,112500.0,1
CloudBased Data Management,112500.0,1
Data Processing and Modeling,112500.0,1
Natural Language Programming,112500.0,1
AZ500,112500.0,2
Software security,112500.0,1
Apollo server,112500.0,1
Cloud Optimization,112500.0,1
Infrastructure as code,112200.0,3
Accounting/Finance,112050.0,1
Systems design,111875.0,1
NIPS,111850.0,1
security event correlation tools,111850.0,1
FireEye HX,111850.0,1
monitoring solutions,111850.0,1
antimalware,111850.0,1
cloud service models,111850.0,1
CarbonBlack,111850.0,1
UX UI,111833.33333333333,6
* RESTful API,111547.5,1
* JIRA,111547.5,1
* MS Visio,111547.5,1
* Agile,111547.5,1
* Confluence,111547.5,1
* SOAP UI,111547.5,1
BI Tools,111500.0,1
TensorRT,111333.33333333333,3
Collaborative Filtering,111250.0,1
ContentBased,111250.0,1
Text Analytics,111250.0,1
Recommendation Algorithms,111250.0,1
Spring Security,111211.66666666667,9
FDA regulations,110809.0,1
Veeva Vault Platform,110809.0,1
GCP/ICH guidelines,110809.0,1
Weapons Systems,110648.5,1
Mission Planning,110648.5,1
Smartsheets,110546.92749999999,2
Graphite,110500.0,1
Cruisecontrol,110500.0,1
NET+,110350.0,1
antivirus,110350.0,1
vbscript,110350.0,1
Blockchain Technology,110250.0,4
Autoscaling,110250.0,1
Reliability,110156.0,5
Oracle Apex,110150.0,1
MVC architecture,110150.0,1
Container orchestration systems,110150.0,1
Agile (Scrum Kanban),110150.0,1
Observability tools,110150.0,1
Modularization,110150.0,1
SQLite,110075.0,8
Microservice Architectures,110000.0,1
Oracle Cloud (OCI),110000.0,1
AWS Core Services (EC2 Security Groups S3 IAM),110000.0,1
BMS,110000.0,1
ZeOmega,110000.0,1
SEMrush,110000.0,1
Pixel Analytics,110000.0,1
VMware Virtualization,110000.0,1
B.S.,110000.0,1
API Implementations,110000.0,1
Backlog Management,110000.0,1
Google Looker,110000.0,1
UNIX Operating System,110000.0,1
Guidewire InsuranceSuite,110000.0,1
Jiva,110000.0,1
OaC,110000.0,1
Software Integrations,110000.0,1
Linux Server RHEL CentOS Ubuntu,110000.0,1
Minio,110000.0,1
Security Analytics,110000.0,1
Sympy,110000.0,1
Distributed File System,110000.0,1
Monitoring Tools (LogicMonitor Nagios Zabbix),110000.0,1
Microsoft BI,110000.0,1
Healthcare Regulatory Requirements,110000.0,1
Enterprise Gateway,110000.0,1
MID Server,109920.0,1
Predictive Intelligence,109920.0,1
Virtual Agent,109920.0,1
Discovery,109920.0,1
ITOM Discovery,109920.0,1
Performance Analytics,109920.0,1
ITOM,109920.0,1
Mobile app,109920.0,1
ATF,109920.0,1
Agent Workspace,109920.0,1
Strategy,109833.33333333333,3
Foreign Exchange Trade,109760.0,1
FWA,109650.0,1
Design Architecture,109541.32,1
ServiceNow ITSM,109541.32,1
.NET framework,109512.0,1
.NET CORE,109512.0,1
Legacy,109500.0,2
MDX,109416.66666666667,6
Econometrics,109224.625,8
ArgoCd,109200.0,1
Android development (Plus),109200.0,1
CI/CD pipelines (Plus),109200.0,1
PostgreSql,109200.0,1
ArgoWorkflow,109200.0,1
Micro Frontends (MFE),109200.0,1
Monte Carlo Simulation,109000.0,1
JAMA,109000.0,1
Spark/PySpark,109000.0,1
Quality Management Systems (QMS),109000.0,1
Regulatory Intelligence,109000.0,1
Mitigation Planning,109000.0,1
Time Series Modeling,109000.0,1
Cognition Cockpit,109000.0,1
Requirement,108900.0,1
IT Software Application Development Group,108900.0,1
Patch,108900.0,1
Upgrade,108900.0,1
Extension,108900.0,1
System Upgrade,108900.0,1
Custom Development,108900.0,1
Bug Fix,108900.0,1
Business Systems User,108900.0,1
Junior Staff,108900.0,1
GLM,108750.0,4
Healthcare billing,108732.5,1
Healthcare claims,108732.5,1
Data programming,108732.5,1
Bourne,108320.0,1
Korn Shell,108320.0,1
BI Reporting,108040.0,1
Git/github,107998.0,1
Entity Resolution,107998.0,1
Container Computing,107998.0,1
Social Network Analysis,107998.0,1
Bokeh,107749.0,2
Report Builder,107500.0,1
Web Services Security,107500.0,1
YOLO,107500.0,2
Azure ADLS Gen2,107500.0,1
Entity Framework (EF),107500.0,1
Installshield,107500.0,1
Database monitoring tools,107500.0,1
Summit,107500.0,1
Quest Performance Analysis,107500.0,1
Java/J2EE/Spring,107500.0,1
Microsoft Business Intelligence stack (SSRS SSAS SSIS),107500.0,1
Amazon Lex,107280.0,1
data privacy,107280.0,1
IVA/IVR,107280.0,1
IAM Roles,107250.0,2
Technical Sales,107000.0,2
Remote Access Solutions,107000.0,2
Secure Web Gateway,107000.0,2
Zero Trust Networking,107000.0,2
SentryOne,106900.0,1
SnapManager for SQL,106900.0,1
SQL Server 20122023,106900.0,1
Netapp Snapshots,106900.0,1
Cloud Architectures,106666.66666666667,3
Possess practical communication skills to interact with stakeholders team members and vendors and collaborate on security initiatives incident response efforts and knowledge sharing,106540.0,1
Strong analytical and problemsolving skills and ability to troubleshoot and resolve complex issues,106540.0,1
AWS/Azure,106540.0,1
